[2018-04-24 18:15:13.279195] Loading pretrained model...
[2018-04-24 18:15:29.030451] Finished iteration: 0
[2018-04-24 18:15:42.562087] Finished iteration: 1
[2018-04-24 18:15:51.703511] Finished iteration: 2
[2018-04-24 18:16:03.506572] Finished iteration: 3
[2018-04-24 18:16:14.017716] Finished iteration: 4
[2018-04-24 18:16:28.069142] Finished iteration: 5
[2018-04-24 18:16:40.735533] Finished iteration: 6
[2018-04-24 18:16:53.861793] Finished iteration: 7
[2018-04-24 18:17:09.060559] Finished iteration: 8
[2018-04-24 18:17:17.928712] Finished iteration: 9
[2018-04-24 18:17:31.566675] Finished iteration: 10
[2018-04-24 18:17:45.590681] Finished iteration: 11
[2018-04-24 18:17:58.394920] Finished iteration: 12
[2018-04-24 18:18:13.167685] Finished iteration: 13
[2018-04-24 18:18:27.272813] Finished iteration: 14
[2018-04-24 18:18:39.564617] Finished iteration: 15
[2018-04-24 18:18:49.665106] Finished iteration: 16
[2018-04-24 18:19:03.465130] Finished iteration: 17
[2018-04-24 18:19:16.134668] Finished iteration: 18
[2018-04-24 18:19:28.806182] Finished iteration: 19
[2018-04-24 18:19:42.161447] Finished iteration: 20
[2018-04-24 18:19:47.872904] Finished iteration: 21
[2018-04-24 18:19:59.252808] Finished iteration: 22
[2018-04-24 18:20:08.677438] Finished iteration: 23
[2018-04-24 18:20:19.383430] Finished iteration: 24
[2018-04-24 18:20:30.210287] Finished iteration: 25
[2018-04-24 18:20:40.558651] Finished iteration: 26
[2018-04-24 18:20:54.531060] Finished iteration: 27
[2018-04-24 18:21:10.064559] Finished iteration: 28
[2018-04-24 18:21:22.887912] Finished iteration: 29
[2018-04-24 18:21:31.962548] Finished iteration: 30
[2018-04-24 18:21:42.025080] Finished iteration: 31
